,Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,WnvPresent,NumMosquitos,Day,Month,Year,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Week,geometry
0,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.654224 41.867108)
1,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.654224 41.867108)
2,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.64886 41.862292)
3,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.655232 41.896282)
4,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.760886 41.907645)
5,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,2,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.666455 41.9216)
6,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,0,3,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.666014 41.720848)
7,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.694259 41.919343)
8,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,2,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.632085 41.921965)
9,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,3,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.632085 41.921965)
10,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.676709 41.688324)
11,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.676709 41.688324)
12,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.67751199999999 41.731922)
13,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,5,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.67751199999999 41.731922)
14,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000002,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.65449100000002 41.891118)
15,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.800991 41.95469)
16,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.800991 41.95469)
17,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.769279 41.994991)
18,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.795585 41.999129)
19,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999997,8,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.68776899999997 42.01743)
20,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,1,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.82481199999999 41.974089)
21,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,4,29,5,2007,1,88,60,74,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,22,POINT (-87.82481199999999 41.974089)
22,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.649642 41.732984)
23,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,0,1,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.61156 41.891126)
24,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,0,2,29,5,2007,2,88,65,77,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,22,POINT (-87.61156 41.891126)
25,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2,5,6,2007,2,63,51,57,47,52.0,8.0,0.0,417,1923,RA BR,0.27,29.16,29.78,6.2,3,8.1,23,POINT (-87.654224 41.867108)
