Week,Year,Month,Day,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,IntLoc,code_dz,code_vcts,code_fg,code_tsra,code_bcfg,code_ts,code_ra,code_br,code_hz,code_fg+,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,species_UNSPECIFIED CULEX
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3658.951091938064,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
34,2007,8,21,87,69,78,70,72.0,0.0,13.0,505,1845,0.05,29.21,29.91,3.8,18,6.0,3682.1319854233598,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
37,2011,9,16,59,48,54,38,47.0,11.0,0.0,532,1800,0.0,29.65,30.33,2.6,13,3.7,3674.392878274966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3666.1462892240665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,2013,9,12,83,63,73,58,64.0,0.0,8.0,528,1809,0.06,29.34,29.97,6.8,34,9.8,3666.1462892240665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,2009,6,12,72,50,61,49,55.0,4.0,0.0,416,1927,0.05,29.3,29.95,5.0,6,6.7,3675.2658752732395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2013,9,19,84,69,77,68,70.0,0.0,12.0,536,1755,0.84,29.14,29.87,8.3,16,10.6,3683.1849211884255,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
28,2009,7,6,86,60,73,54,62.0,0.0,8.0,423,1930,0.0,29.14,29.86,7.5,31,7.8,3682.1319854233598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2011,8,26,83,61,72,58,64.0,0.0,7.0,511,1837,0.0,29.32,29.97,1.2,20,3.4,3648.5498609373076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2009,7,24,83,61,72,59,64.0,0.0,7.0,437,1919,0.14,29.08,29.83,8.9,23,9.8,3684.414695813668,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3661.010470220334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,2011,7,29,86,74,80,69,72.0,0.0,15.0,442,1915,0.36,29.34,29.96,3.5,4,5.6,3654.783846640511,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
31,2009,7,31,82,62,72,55,62.0,0.0,7.0,444,1913,0.0,29.29,29.92,5.9,27,6.7,3666.1462892240665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41,2007,10,9,77,50,64,44,53.0,1.0,0.0,557,1720,0.0,29.27,29.93,12.1,28,13.3,3649.3509504763438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2007,8,1,92,69,81,62,69.0,0.0,16.0,445,1911,0.0,29.29,30.0,3.5,9,4.1,3684.483795662016,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
38,2013,9,19,84,69,77,68,70.0,0.0,12.0,536,1755,0.84,29.14,29.87,8.3,16,10.6,3689.5848845516107,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
