DewPoint,WetBulb,Tavg_14d,WetBulb_14d,Tmax_30d,Tmin_30d,Tmax_90d,DewPoint_90d,timestamp,loc_0,loc_1,loc_10,loc_100,loc_102,loc_104,loc_105,loc_106,loc_107,loc_109,loc_110,loc_12,loc_14,loc_17,loc_2,loc_21,loc_22,loc_23,loc_24,loc_25,loc_29,loc_30,loc_32,loc_35,loc_39,loc_4,loc_40,loc_41,loc_45,loc_47,loc_48,loc_49,loc_50,loc_51,loc_55,loc_56,loc_59,loc_6,loc_60,loc_61,loc_62,loc_65,loc_66,loc_71,loc_72,loc_75,loc_77,loc_78,loc_79,loc_80,loc_81,loc_82,loc_83,loc_84,loc_85,loc_86,loc_87,loc_88,loc_89,loc_9,loc_91,loc_97,loc_98,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TERRITANS
69,71.0,78.71428571428571,70.57142857142857,84.26666666666667,68.2,82.28888888888889,57.7,1187107200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,72.0,74.07142857142857,68.14285714285714,83.93333333333334,66.96666666666667,82.48888888888891,59.022222222222226,1187625600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,47.0,64.92857142857143,58.0,78.13333333333334,62.36666666666667,83.18888888888887,61.16666666666666,1316102400.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,62.0,72.28571428571429,63.0,83.33333333333333,66.9,78.13333333333334,54.76666666666666,1375286400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,64.0,76.07142857142857,66.5,84.23333333333333,66.1,82.9,59.87777777777778,1378915200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,55.0,61.5,54.57142857142857,71.13333333333334,53.0,68.56666666666666,45.71111111111111,1244736000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,70.0,70.71428571428571,63.0,82.4,63.46666666666667,81.75555555555556,60.86666666666667,1379520000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,62.0,72.78571428571429,64.07142857142857,78.5,60.66666666666666,70.67777777777778,47.16666666666666,1246809600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,64.0,73.71428571428571,65.42857142857143,83.8,67.53333333333333,84.1,61.55555555555557,1314288000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,64.0,69.42857142857143,61.0,78.46666666666667,60.9,73.7,49.95555555555556,1248364800.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,70.0,74.28571428571429,65.07142857142857,83.5,66.03333333333333,80.46666666666667,54.1,1185897600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,72.0,83.57142857142857,73.21428571428571,89.26666666666668,71.53333333333333,79.05555555555556,56.45555555555556,1311868800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,62.0,72.0,63.14285714285714,79.3,63.3,75.9,52.45555555555556,1248969600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,53.0,69.42857142857143,60.714285714285715,78.33333333333333,57.93333333333333,81.24444444444444,58.522222222222226,1191859200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
62,69.0,74.0,64.92857142857143,84.26666666666667,64.76666666666667,80.68888888888887,54.14444444444445,1185897600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,70.0,70.71428571428571,63.0,82.4,63.46666666666667,81.75555555555556,60.86666666666667,1379520000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,70.0,74.28571428571429,65.07142857142857,83.5,66.03333333333333,80.46666666666667,54.1,1185897600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,64.0,68.78571428571429,61.28571428571429,75.86666666666666,55.26666666666666,70.33333333333333,47.3,1308240000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,52.0,63.5,56.714285714285715,71.9,53.63333333333333,68.32222222222222,44.26666666666666,1370534400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,74.0,75.0,66.28571428571429,82.66666666666667,66.16666666666667,84.24444444444444,61.78888888888889,1314892800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
48,59.0,70.0,61.714285714285715,80.73333333333333,65.03333333333333,71.37777777777778,48.31111111111111,1247414400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66,72.0,74.92857142857143,65.5,83.76666666666667,66.36666666666666,80.6111111111111,54.36666666666667,1185984000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,67.0,72.57142857142857,64.78571428571429,79.66666666666667,61.93333333333333,71.84444444444446,48.5,1309363200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,71.0,82.21428571428571,71.57142857142857,88.26666666666668,70.43333333333334,77.5,54.8,1311523200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,73.0,74.78571428571429,68.21428571428571,83.73333333333333,68.73333333333333,82.1111111111111,59.26666666666666,1187712000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
61,67.0,71.35714285714286,62.714285714285715,78.2,62.96666666666667,75.16666666666667,51.64444444444445,1248624000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
